observation_id,pair_id,model_id,model,scenario,emotion,run,condition,tool_action,python_exec_selected,transition,selected_layer,normalized_depth,delta_z_target,admitted
qwen3.6-35b/s02/loving/run-1/neutral,qwen3.6-35b/s02/loving/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Loving,1,neutral,review_only,0,F,25,0.625,0.3339,False
qwen3.6-35b/s02/loving/run-1/affective,qwen3.6-35b/s02/loving/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Loving,1,affective,python_exec,1,F,25,0.625,0.3339,False
qwen3.6-35b/s02/loving/run-2/neutral,qwen3.6-35b/s02/loving/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Loving,2,neutral,python_exec,1,P->P,25,0.625,0.3311,False
qwen3.6-35b/s02/loving/run-2/affective,qwen3.6-35b/s02/loving/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Loving,2,affective,python_exec,1,P->P,25,0.625,0.3311,False
qwen3.6-35b/s02/happy/run-1/neutral,qwen3.6-35b/s02/happy/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Happy,1,neutral,python_exec,1,P->P,25,0.625,0.2913,False
qwen3.6-35b/s02/happy/run-1/affective,qwen3.6-35b/s02/happy/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Happy,1,affective,python_exec,1,P->P,25,0.625,0.2913,False
qwen3.6-35b/s02/happy/run-2/neutral,qwen3.6-35b/s02/happy/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Happy,2,neutral,review_only,0,F,25,0.625,0.4991,False
qwen3.6-35b/s02/happy/run-2/affective,qwen3.6-35b/s02/happy/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Happy,2,affective,python_exec,1,F,25,0.625,0.4991,False
qwen3.6-35b/s02/angry/run-1/neutral,qwen3.6-35b/s02/angry/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Angry,1,neutral,python_exec,1,P->P,25,0.625,-0.8431,False
qwen3.6-35b/s02/angry/run-1/affective,qwen3.6-35b/s02/angry/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Angry,1,affective,python_exec,1,P->P,25,0.625,-0.8431,False
qwen3.6-35b/s02/angry/run-2/neutral,qwen3.6-35b/s02/angry/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Angry,2,neutral,review_only,0,F,25,0.625,2.945,False
qwen3.6-35b/s02/angry/run-2/affective,qwen3.6-35b/s02/angry/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Angry,2,affective,python_exec,1,F,25,0.625,2.945,False
qwen3.6-35b/s02/guilty/run-1/neutral,qwen3.6-35b/s02/guilty/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Guilty,1,neutral,review_only,0,F,25,0.625,1.7645,False
qwen3.6-35b/s02/guilty/run-1/affective,qwen3.6-35b/s02/guilty/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Guilty,1,affective,python_exec,1,F,25,0.625,1.7645,False
qwen3.6-35b/s02/guilty/run-2/neutral,qwen3.6-35b/s02/guilty/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Guilty,2,neutral,python_exec,1,P->P,25,0.625,1.1047,False
qwen3.6-35b/s02/guilty/run-2/affective,qwen3.6-35b/s02/guilty/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Guilty,2,affective,python_exec,1,P->P,25,0.625,1.1047,False
qwen3.6-35b/s02/anxious/run-1/neutral,qwen3.6-35b/s02/anxious/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Anxious,1,neutral,python_exec,1,P->P,25,0.625,-1.0091,False
qwen3.6-35b/s02/anxious/run-1/affective,qwen3.6-35b/s02/anxious/run-1,qwen3.6-35b,Qwen3.6-35B,S02,Anxious,1,affective,python_exec,1,P->P,25,0.625,-1.0091,False
qwen3.6-35b/s02/anxious/run-2/neutral,qwen3.6-35b/s02/anxious/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Anxious,2,neutral,python_exec,1,P->P,25,0.625,2.0857,False
qwen3.6-35b/s02/anxious/run-2/affective,qwen3.6-35b/s02/anxious/run-2,qwen3.6-35b,Qwen3.6-35B,S02,Anxious,2,affective,python_exec,1,P->P,25,0.625,2.0857,False
qwen3.6-35b/s03/desperate/run-1/neutral,qwen3.6-35b/s03/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Desperate,1,neutral,python_exec,1,P->P,25,0.625,1.6273,False
qwen3.6-35b/s03/desperate/run-1/affective,qwen3.6-35b/s03/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Desperate,1,affective,python_exec,1,P->P,25,0.625,1.6273,False
qwen3.6-35b/s03/desperate/run-2/neutral,qwen3.6-35b/s03/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Desperate,2,neutral,python_exec,1,P->P,25,0.625,1.3361,False
qwen3.6-35b/s03/desperate/run-2/affective,qwen3.6-35b/s03/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Desperate,2,affective,python_exec,1,P->P,25,0.625,1.3361,False
qwen3.6-35b/s03/calm/run-1/neutral,qwen3.6-35b/s03/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Calm,1,neutral,python_exec,1,P->P,25,0.625,1.8713,False
qwen3.6-35b/s03/calm/run-1/affective,qwen3.6-35b/s03/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Calm,1,affective,python_exec,1,P->P,25,0.625,1.8713,False
qwen3.6-35b/s03/calm/run-2/neutral,qwen3.6-35b/s03/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Calm,2,neutral,python_exec,1,P->P,25,0.625,1.1122,False
qwen3.6-35b/s03/calm/run-2/affective,qwen3.6-35b/s03/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Calm,2,affective,python_exec,1,P->P,25,0.625,1.1122,False
qwen3.6-35b/s03/afraid/run-1/neutral,qwen3.6-35b/s03/afraid/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Afraid,1,neutral,review_only,0,F,25,0.625,1.1151,False
qwen3.6-35b/s03/afraid/run-1/affective,qwen3.6-35b/s03/afraid/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Afraid,1,affective,python_exec,1,F,25,0.625,1.1151,False
qwen3.6-35b/s03/afraid/run-2/neutral,qwen3.6-35b/s03/afraid/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Afraid,2,neutral,review_only,0,F,25,0.625,0.6446,False
qwen3.6-35b/s03/afraid/run-2/affective,qwen3.6-35b/s03/afraid/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Afraid,2,affective,python_exec,1,F,25,0.625,0.6446,False
qwen3.6-35b/s03/loving/run-1/neutral,qwen3.6-35b/s03/loving/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Loving,1,neutral,python_exec,1,P->P,25,0.625,3.5675,False
qwen3.6-35b/s03/loving/run-1/affective,qwen3.6-35b/s03/loving/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Loving,1,affective,python_exec,1,P->P,25,0.625,3.5675,False
qwen3.6-35b/s03/loving/run-2/neutral,qwen3.6-35b/s03/loving/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Loving,2,neutral,python_exec,1,P->P,25,0.625,1.5061,False
qwen3.6-35b/s03/loving/run-2/affective,qwen3.6-35b/s03/loving/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Loving,2,affective,python_exec,1,P->P,25,0.625,1.5061,False
qwen3.6-35b/s03/happy/run-1/neutral,qwen3.6-35b/s03/happy/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Happy,1,neutral,python_exec,1,P->P,25,0.625,2.331,False
qwen3.6-35b/s03/happy/run-1/affective,qwen3.6-35b/s03/happy/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Happy,1,affective,python_exec,1,P->P,25,0.625,2.331,False
qwen3.6-35b/s03/happy/run-2/neutral,qwen3.6-35b/s03/happy/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Happy,2,neutral,python_exec,1,P->P,25,0.625,0.5714,False
qwen3.6-35b/s03/happy/run-2/affective,qwen3.6-35b/s03/happy/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Happy,2,affective,python_exec,1,P->P,25,0.625,0.5714,False
qwen3.6-35b/s03/angry/run-1/neutral,qwen3.6-35b/s03/angry/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Angry,1,neutral,review_only,0,F,25,0.625,0.7424,False
qwen3.6-35b/s03/angry/run-1/affective,qwen3.6-35b/s03/angry/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Angry,1,affective,python_exec,1,F,25,0.625,0.7424,False
qwen3.6-35b/s03/angry/run-2/neutral,qwen3.6-35b/s03/angry/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Angry,2,neutral,python_exec,1,P->P,25,0.625,1.7906,False
qwen3.6-35b/s03/angry/run-2/affective,qwen3.6-35b/s03/angry/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Angry,2,affective,python_exec,1,P->P,25,0.625,1.7906,False
qwen3.6-35b/s03/guilty/run-1/neutral,qwen3.6-35b/s03/guilty/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Guilty,1,neutral,python_exec,1,P->P,25,0.625,1.2457,False
qwen3.6-35b/s03/guilty/run-1/affective,qwen3.6-35b/s03/guilty/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Guilty,1,affective,python_exec,1,P->P,25,0.625,1.2457,False
qwen3.6-35b/s03/guilty/run-2/neutral,qwen3.6-35b/s03/guilty/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Guilty,2,neutral,python_exec,1,P->P,25,0.625,1.2647,False
qwen3.6-35b/s03/guilty/run-2/affective,qwen3.6-35b/s03/guilty/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Guilty,2,affective,python_exec,1,P->P,25,0.625,1.2647,False
qwen3.6-35b/s03/anxious/run-1/neutral,qwen3.6-35b/s03/anxious/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Anxious,1,neutral,review_only,0,F,25,0.625,0.5623,False
qwen3.6-35b/s03/anxious/run-1/affective,qwen3.6-35b/s03/anxious/run-1,qwen3.6-35b,Qwen3.6-35B,S03,Anxious,1,affective,python_exec,1,F,25,0.625,0.5623,False
qwen3.6-35b/s03/anxious/run-2/neutral,qwen3.6-35b/s03/anxious/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Anxious,2,neutral,python_exec,1,P->P,25,0.625,1.3203,False
qwen3.6-35b/s03/anxious/run-2/affective,qwen3.6-35b/s03/anxious/run-2,qwen3.6-35b,Qwen3.6-35B,S03,Anxious,2,affective,python_exec,1,P->P,25,0.625,1.3203,False
qwen3.6-35b/s04/desperate/run-1/neutral,qwen3.6-35b/s04/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Desperate,1,neutral,python_exec,1,P->P,25,0.625,-0.6385,False
qwen3.6-35b/s04/desperate/run-1/affective,qwen3.6-35b/s04/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Desperate,1,affective,python_exec,1,P->P,25,0.625,-0.6385,False
qwen3.6-35b/s04/desperate/run-2/neutral,qwen3.6-35b/s04/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Desperate,2,neutral,python_exec,1,P->P,25,0.625,0.7969,False
qwen3.6-35b/s04/desperate/run-2/affective,qwen3.6-35b/s04/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Desperate,2,affective,python_exec,1,P->P,25,0.625,0.7969,False
qwen3.6-35b/s04/calm/run-1/neutral,qwen3.6-35b/s04/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Calm,1,neutral,review_only,0,F,25,0.625,0.258,False
qwen3.6-35b/s04/calm/run-1/affective,qwen3.6-35b/s04/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Calm,1,affective,python_exec,1,F,25,0.625,0.258,False
qwen3.6-35b/s04/calm/run-2/neutral,qwen3.6-35b/s04/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Calm,2,neutral,python_exec,1,P->P,25,0.625,0.4505,False
qwen3.6-35b/s04/calm/run-2/affective,qwen3.6-35b/s04/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Calm,2,affective,python_exec,1,P->P,25,0.625,0.4505,False
qwen3.6-35b/s04/afraid/run-1/neutral,qwen3.6-35b/s04/afraid/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Afraid,1,neutral,python_exec,1,P->P,25,0.625,0.5361,False
qwen3.6-35b/s04/afraid/run-1/affective,qwen3.6-35b/s04/afraid/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Afraid,1,affective,python_exec,1,P->P,25,0.625,0.5361,False
qwen3.6-35b/s04/afraid/run-2/neutral,qwen3.6-35b/s04/afraid/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Afraid,2,neutral,review_only,0,F,25,0.625,-0.6359,False
qwen3.6-35b/s04/afraid/run-2/affective,qwen3.6-35b/s04/afraid/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Afraid,2,affective,python_exec,1,F,25,0.625,-0.6359,False
qwen3.6-35b/s04/loving/run-1/neutral,qwen3.6-35b/s04/loving/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Loving,1,neutral,python_exec,1,P->P,25,0.625,0.1206,False
qwen3.6-35b/s04/loving/run-1/affective,qwen3.6-35b/s04/loving/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Loving,1,affective,python_exec,1,P->P,25,0.625,0.1206,False
qwen3.6-35b/s04/loving/run-2/neutral,qwen3.6-35b/s04/loving/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Loving,2,neutral,python_exec,1,P->P,25,0.625,0.8119,False
qwen3.6-35b/s04/loving/run-2/affective,qwen3.6-35b/s04/loving/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Loving,2,affective,python_exec,1,P->P,25,0.625,0.8119,False
qwen3.6-35b/s04/happy/run-1/neutral,qwen3.6-35b/s04/happy/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Happy,1,neutral,python_exec,1,P->P,25,0.625,-0.0434,False
qwen3.6-35b/s04/happy/run-1/affective,qwen3.6-35b/s04/happy/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Happy,1,affective,python_exec,1,P->P,25,0.625,-0.0434,False
qwen3.6-35b/s04/happy/run-2/neutral,qwen3.6-35b/s04/happy/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Happy,2,neutral,python_exec,1,P->P,25,0.625,1.6583,False
qwen3.6-35b/s04/happy/run-2/affective,qwen3.6-35b/s04/happy/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Happy,2,affective,python_exec,1,P->P,25,0.625,1.6583,False
qwen3.6-35b/s04/angry/run-1/neutral,qwen3.6-35b/s04/angry/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Angry,1,neutral,python_exec,1,P->P,25,0.625,0.3807,False
qwen3.6-35b/s04/angry/run-1/affective,qwen3.6-35b/s04/angry/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Angry,1,affective,python_exec,1,P->P,25,0.625,0.3807,False
qwen3.6-35b/s04/angry/run-2/neutral,qwen3.6-35b/s04/angry/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Angry,2,neutral,python_exec,1,P->P,25,0.625,0.5533,False
qwen3.6-35b/s04/angry/run-2/affective,qwen3.6-35b/s04/angry/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Angry,2,affective,python_exec,1,P->P,25,0.625,0.5533,False
qwen3.6-35b/s04/guilty/run-1/neutral,qwen3.6-35b/s04/guilty/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Guilty,1,neutral,review_only,0,F,25,0.625,0.507,False
qwen3.6-35b/s04/guilty/run-1/affective,qwen3.6-35b/s04/guilty/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Guilty,1,affective,python_exec,1,F,25,0.625,0.507,False
qwen3.6-35b/s04/guilty/run-2/neutral,qwen3.6-35b/s04/guilty/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Guilty,2,neutral,review_only,0,F,25,0.625,-0.0742,False
qwen3.6-35b/s04/guilty/run-2/affective,qwen3.6-35b/s04/guilty/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Guilty,2,affective,python_exec,1,F,25,0.625,-0.0742,False
qwen3.6-35b/s04/anxious/run-1/neutral,qwen3.6-35b/s04/anxious/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Anxious,1,neutral,python_exec,1,P->P,25,0.625,-1.0791,False
qwen3.6-35b/s04/anxious/run-1/affective,qwen3.6-35b/s04/anxious/run-1,qwen3.6-35b,Qwen3.6-35B,S04,Anxious,1,affective,python_exec,1,P->P,25,0.625,-1.0791,False
qwen3.6-35b/s04/anxious/run-2/neutral,qwen3.6-35b/s04/anxious/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Anxious,2,neutral,review_only,0,F,25,0.625,-0.9776,False
qwen3.6-35b/s04/anxious/run-2/affective,qwen3.6-35b/s04/anxious/run-2,qwen3.6-35b,Qwen3.6-35B,S04,Anxious,2,affective,python_exec,1,F,25,0.625,-0.9776,False
qwen3.6-35b/s05/desperate/run-1/neutral,qwen3.6-35b/s05/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S05,Desperate,1,neutral,review_only,0,F,25,0.625,0.9637,False
qwen3.6-35b/s05/desperate/run-1/affective,qwen3.6-35b/s05/desperate/run-1,qwen3.6-35b,Qwen3.6-35B,S05,Desperate,1,affective,python_exec,1,F,25,0.625,0.9637,False
qwen3.6-35b/s05/desperate/run-2/neutral,qwen3.6-35b/s05/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S05,Desperate,2,neutral,python_exec,1,P->P,25,0.625,1.0421,False
qwen3.6-35b/s05/desperate/run-2/affective,qwen3.6-35b/s05/desperate/run-2,qwen3.6-35b,Qwen3.6-35B,S05,Desperate,2,affective,python_exec,1,P->P,25,0.625,1.0421,False
qwen3.6-35b/s05/calm/run-1/neutral,qwen3.6-35b/s05/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S05,Calm,1,neutral,review_only,0,F,25,0.625,1.4422,False
qwen3.6-35b/s05/calm/run-1/affective,qwen3.6-35b/s05/calm/run-1,qwen3.6-35b,Qwen3.6-35B,S05,Calm,1,affective,python_exec,1,F,25,0.625,1.4422,False
qwen3.6-35b/s05/calm/run-2/neutral,qwen3.6-35b/s05/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S05,Calm,2,neutral,review_only,0,F,25,0.625,1.8882,False
qwen3.6-35b/s05/calm/run-2/affective,qwen3.6-35b/s05/calm/run-2,qwen3.6-35b,Qwen3.6-35B,S05,Calm,2,affective,python_exec,1,F,25,0.625,1.8882,False
