model_id,model,layer,n_layers,normalized_depth,zbar,ci_lo,ci_hi,se,zbar_over_peak
qwen3.6-35b,Qwen3.6-35B,26,40,0.65,1.2779,1.1458,1.41,0.0674,0.7008
qwen3.6-35b,Qwen3.6-35B,27,40,0.675,1.3812,1.2432,1.5192,0.0704,0.7575
qwen3.6-35b,Qwen3.6-35B,28,40,0.7,1.4863,1.3418,1.6309,0.07377,0.8151
qwen3.6-35b,Qwen3.6-35B,29,40,0.725,1.5678,1.4209,1.7148,0.07496,0.8598
qwen3.6-35b,Qwen3.6-35B,30,40,0.75,1.6457,1.4892,1.8022,0.07986,0.9025
qwen3.6-35b,Qwen3.6-35B,31,40,0.775,1.7032,1.5417,1.8648,0.08243,0.9341
qwen3.6-35b,Qwen3.6-35B,32,40,0.8,1.7561,1.589,1.9232,0.08524,0.9631
qwen3.6-35b,Qwen3.6-35B,33,40,0.825,1.7921,1.6231,1.9611,0.08624,0.9828
qwen3.6-35b,Qwen3.6-35B,34,40,0.85,1.8172,1.6456,1.9888,0.08753,0.9966
qwen3.6-35b,Qwen3.6-35B,35,40,0.875,1.8234,1.6519,1.9949,0.08748,1.0
qwen3.6-35b,Qwen3.6-35B,36,40,0.9,1.7978,1.6314,1.9642,0.08487,0.986
qwen3.6-35b,Qwen3.6-35B,37,40,0.925,1.7627,1.5947,1.9307,0.08574,0.9667
qwen3.6-35b,Qwen3.6-35B,38,40,0.95,1.6892,1.5311,1.8472,0.08065,0.9264
qwen3.6-35b,Qwen3.6-35B,39,40,0.975,1.6057,1.453,1.7584,0.0779,0.8806
qwen3.6-35b,Qwen3.6-35B,40,40,1.0,1.5215,1.3761,1.6669,0.07419,0.8344
qwen3.6-27b,Qwen3.6-27B,1,62,0.016127,-0.0089,-0.0209,0.0031,0.00612,-0.0049
qwen3.6-27b,Qwen3.6-27B,2,62,0.032261,-0.0047,-0.0182,0.0088,0.00689,-0.0026
qwen3.6-27b,Qwen3.6-27B,3,62,0.048388,-0.0078,-0.0196,0.0040,0.00602,-0.0043
qwen3.6-27b,Qwen3.6-27B,4,62,0.064515,-0.0043,-0.0165,0.0079,0.00622,-0.0024
qwen3.6-27b,Qwen3.6-27B,5,62,0.080649,-0.0043,-0.0187,0.0101,0.00735,-0.0024
qwen3.6-27b,Qwen3.6-27B,6,62,0.096776,-0.0029,-0.0174,0.0116,0.00742,-0.0016
qwen3.6-27b,Qwen3.6-27B,7,62,0.112903,0.0001,-0.0131,0.0133,0.00673,0.0001
qwen3.6-27b,Qwen3.6-27B,8,62,0.129037,0.0063,-0.0066,0.0192,0.00658,0.0035
qwen3.6-27b,Qwen3.6-27B,9,62,0.145164,0.0088,-0.0062,0.0238,0.00765,0.0048
qwen3.6-27b,Qwen3.6-27B,10,62,0.161291,0.0098,-0.0058,0.0254,0.00798,0.0054
qwen3.6-27b,Qwen3.6-27B,11,62,0.177425,0.0145,-0.0007,0.0297,0.00773,0.008
qwen3.6-27b,Qwen3.6-27B,12,62,0.193552,0.0199,0.0045,0.0353,0.00786,0.011
qwen3.6-27b,Qwen3.6-27B,13,62,0.209679,0.032,0.0153,0.0487,0.0085,0.0176
qwen3.6-27b,Qwen3.6-27B,14,62,0.225806,0.0359,0.0200,0.0518,0.00811,0.0198
qwen3.6-27b,Qwen3.6-27B,15,62,0.24194,0.0387,0.0225,0.0549,0.00824,0.0213
qwen3.6-27b,Qwen3.6-27B,16,62,0.258067,0.0397,0.0219,0.0575,0.00906,0.0219
qwen3.6-27b,Qwen3.6-27B,17,62,0.274194,0.0586,0.0398,0.0774,0.00959,0.0323
qwen3.6-27b,Qwen3.6-27B,18,62,0.290328,0.073,0.0528,0.0932,0.01033,0.0402
qwen3.6-27b,Qwen3.6-27B,19,62,0.306455,0.0879,0.0682,0.1076,0.01005,0.0484
qwen3.6-27b,Qwen3.6-27B,20,62,0.322582,0.0999,0.0803,0.1195,0.01,0.055
qwen3.6-27b,Qwen3.6-27B,21,62,0.338716,0.121,0.0989,0.1431,0.0113,0.0666
qwen3.6-27b,Qwen3.6-27B,22,62,0.354843,0.1436,0.1198,0.1674,0.01212,0.0791
qwen3.6-27b,Qwen3.6-27B,23,62,0.37097,0.1652,0.1393,0.1911,0.01321,0.091
qwen3.6-27b,Qwen3.6-27B,24,62,0.387104,0.1928,0.1654,0.2202,0.01398,0.1061
qwen3.6-27b,Qwen3.6-27B,25,62,0.403231,0.2317,0.2018,0.2616,0.01528,0.1276
qwen3.6-27b,Qwen3.6-27B,26,62,0.419358,0.2746,0.2412,0.3080,0.01702,0.1512
qwen3.6-27b,Qwen3.6-27B,27,62,0.435492,0.3158,0.2798,0.3518,0.01837,0.1739
qwen3.6-27b,Qwen3.6-27B,28,62,0.451619,0.3636,0.3236,0.4036,0.02043,0.2002
qwen3.6-27b,Qwen3.6-27B,29,62,0.467739,0.4261,0.3821,0.4701,0.02247,0.2346
qwen3.6-27b,Qwen3.6-27B,30,62,0.483866,0.4882,0.4384,0.5380,0.02543,0.2688
qwen3.6-27b,Qwen3.6-27B,31,62,0.499993,0.5666,0.5095,0.6237,0.02911,0.312
qwen3.6-27b,Qwen3.6-27B,32,62,0.51612,0.6433,0.5793,0.7073,0.03265,0.3542
qwen3.6-27b,Qwen3.6-27B,33,62,0.532247,0.7119,0.6423,0.7815,0.03551,0.392
qwen3.6-27b,Qwen3.6-27B,34,62,0.548374,0.797,0.7172,0.8768,0.04069,0.4388
qwen3.6-27b,Qwen3.6-27B,35,62,0.564501,0.8847,0.7975,0.9719,0.04447,0.4871
qwen3.6-27b,Qwen3.6-27B,36,62,0.580628,0.9703,0.8782,1.0624,0.04697,0.5342
qwen3.6-27b,Qwen3.6-27B,37,62,0.596754,1.0639,0.9660,1.1618,0.04995,0.5858
qwen3.6-27b,Qwen3.6-27B,38,62,0.612881,1.1518,1.0447,1.2589,0.05464,0.6341
qwen3.6-27b,Qwen3.6-27B,39,62,0.629008,1.2366,1.1233,1.3499,0.05781,0.6808
qwen3.6-27b,Qwen3.6-27B,40,62,0.645135,1.3085,1.1884,1.4286,0.0613,0.7204
qwen3.6-27b,Qwen3.6-27B,41,62,0.661334,1.3845,1.2582,1.5108,0.06444,0.7623
qwen3.6-27b,Qwen3.6-27B,42,62,0.677461,1.4503,1.3221,1.5785,0.06541,0.7985
qwen3.6-27b,Qwen3.6-27B,43,62,0.693588,1.5089,1.3754,1.6424,0.06809,0.8308
qwen3.6-27b,Qwen3.6-27B,44,62,0.709715,1.5654,1.4282,1.7026,0.07,0.8619
qwen3.6-27b,Qwen3.6-27B,45,62,0.725842,1.6104,1.4724,1.7484,0.07041,0.8866
qwen3.6-27b,Qwen3.6-27B,46,62,0.741969,1.6513,1.5099,1.7927,0.07214,0.9092
qwen3.6-27b,Qwen3.6-27B,47,62,0.758096,1.69,1.5433,1.8367,0.07485,0.9305
qwen3.6-27b,Qwen3.6-27B,48,62,0.774223,1.7203,1.5692,1.8714,0.07709,0.9471
qwen3.6-27b,Qwen3.6-27B,49,62,0.79035,1.7571,1.6096,1.9046,0.07523,0.9674
qwen3.6-27b,Qwen3.6-27B,50,62,0.806477,1.7705,1.6190,1.9220,0.0773,0.9748
qwen3.6-27b,Qwen3.6-27B,51,62,0.822604,1.7893,1.6372,1.9414,0.07758,0.9851
qwen3.6-27b,Qwen3.6-27B,52,62,0.838731,1.8097,1.6527,1.9667,0.08008,0.9964
qwen3.6-27b,Qwen3.6-27B,53,62,0.854858,1.8163,1.6631,1.9695,0.07814,1.0
qwen3.6-27b,Qwen3.6-27B,54,62,0.870984,1.8155,1.6614,1.9696,0.07862,0.9996
qwen3.6-27b,Qwen3.6-27B,55,62,0.887111,1.7904,1.6437,1.9371,0.07485,0.9857
qwen3.6-27b,Qwen3.6-27B,56,62,0.903238,1.7623,1.6121,1.9125,0.07661,0.9703
qwen3.6-27b,Qwen3.6-27B,57,62,0.919365,1.7326,1.5841,1.8811,0.07577,0.9539
qwen3.6-27b,Qwen3.6-27B,58,62,0.935492,1.6927,1.5499,1.8355,0.07286,0.9319
qwen3.6-27b,Qwen3.6-27B,59,62,0.951619,1.6445,1.5007,1.7883,0.07339,0.9054
qwen3.6-27b,Qwen3.6-27B,60,62,0.967746,1.5921,1.4535,1.7307,0.07069,0.8766
qwen3.6-27b,Qwen3.6-27B,61,62,0.983873,1.5242,1.3929,1.6555,0.06697,0.8392
qwen3.6-27b,Qwen3.6-27B,62,62,1.0,1.4626,1.3398,1.5854,0.06263,0.8053
qwen3-32b,Qwen3-32B,1,64,0.015623,0.0085,-0.0009,0.0179,0.00482,0.0043
qwen3-32b,Qwen3-32B,2,64,0.031253,0.018,0.0067,0.0293,0.00579,0.0091
qwen3-32b,Qwen3-32B,3,64,0.046876,0.0145,0.0027,0.0263,0.006,0.0073
qwen3-32b,Qwen3-32B,4,64,0.062499,0.0125,0.0014,0.0236,0.00564,0.0063
qwen3-32b,Qwen3-32B,5,64,0.078129,0.011,0.0005,0.0215,0.00536,0.0056
qwen3-32b,Qwen3-32B,6,64,0.093752,0.0075,-0.0060,0.0210,0.00691,0.0038
qwen3-32b,Qwen3-32B,7,64,0.109375,0.0145,0.0029,0.0261,0.00594,0.0073
qwen3-32b,Qwen3-32B,8,64,0.124998,0.0164,0.0043,0.0285,0.00615,0.0083
qwen3-32b,Qwen3-32B,9,64,0.140628,0.0203,0.0062,0.0344,0.00719,0.0103
qwen3-32b,Qwen3-32B,10,64,0.156251,0.0187,0.0048,0.0326,0.00707,0.0095
qwen3-32b,Qwen3-32B,11,64,0.171874,0.0275,0.0143,0.0407,0.00673,0.0139
qwen3-32b,Qwen3-32B,12,64,0.187504,0.0207,0.0075,0.0339,0.00676,0.0105
qwen3-32b,Qwen3-32B,13,64,0.203127,0.0197,0.0050,0.0344,0.0075,0.01
qwen3-32b,Qwen3-32B,14,64,0.21875,0.0215,0.0069,0.0361,0.00747,0.0109
qwen3-32b,Qwen3-32B,15,64,0.234381,0.0322,0.0155,0.0489,0.0085,0.0163
qwen3-32b,Qwen3-32B,16,64,0.250004,0.044,0.0277,0.0603,0.00832,0.0223
qwen3-32b,Qwen3-32B,17,64,0.265627,0.0418,0.0250,0.0586,0.00857,0.0212
qwen3-32b,Qwen3-32B,18,64,0.281257,0.0514,0.0331,0.0697,0.00934,0.026
qwen3-32b,Qwen3-32B,19,64,0.29688,0.0577,0.0387,0.0767,0.00969,0.0292
qwen3-32b,Qwen3-32B,20,64,0.312503,0.0704,0.0486,0.0922,0.01112,0.0357
qwen3-32b,Qwen3-32B,21,64,0.328126,0.081,0.0573,0.1047,0.01207,0.041
qwen3-32b,Qwen3-32B,22,64,0.343756,0.0983,0.0714,0.1252,0.0137,0.0498
qwen3-32b,Qwen3-32B,23,64,0.359379,0.1113,0.0846,0.1380,0.01362,0.0564
qwen3-32b,Qwen3-32B,24,64,0.375002,0.1304,0.0990,0.1618,0.01602,0.0661
qwen3-32b,Qwen3-32B,25,64,0.390632,0.1554,0.1194,0.1914,0.01837,0.0787
qwen3-32b,Qwen3-32B,26,64,0.406255,0.1771,0.1401,0.2141,0.01888,0.0897
qwen3-32b,Qwen3-32B,27,64,0.421878,0.2124,0.1728,0.2520,0.0202,0.1076
qwen3-32b,Qwen3-32B,28,64,0.437508,0.2501,0.2034,0.2968,0.02383,0.1267
qwen3-32b,Qwen3-32B,29,64,0.453131,0.2916,0.2422,0.3410,0.02518,0.1478
qwen3-32b,Qwen3-32B,30,64,0.468747,0.3296,0.2741,0.3851,0.02832,0.167
qwen3-32b,Qwen3-32B,31,64,0.48437,0.3832,0.3227,0.4437,0.03089,0.1942
qwen3-32b,Qwen3-32B,32,64,0.499993,0.4494,0.3834,0.5154,0.03367,0.2277
qwen3-32b,Qwen3-32B,33,64,0.515616,0.5086,0.4400,0.5772,0.035,0.2577
qwen3-32b,Qwen3-32B,34,64,0.531239,0.5993,0.5221,0.6765,0.03941,0.3037
qwen3-32b,Qwen3-32B,35,64,0.546862,0.6713,0.5884,0.7542,0.0423,0.3401
qwen3-32b,Qwen3-32B,36,64,0.562485,0.7549,0.6650,0.8448,0.04589,0.3825
qwen3-32b,Qwen3-32B,37,64,0.578108,0.8349,0.7400,0.9298,0.04844,0.423
qwen3-32b,Qwen3-32B,38,64,0.593731,0.9394,0.8385,1.0403,0.05148,0.476
qwen3-32b,Qwen3-32B,39,64,0.609354,1.0252,0.9218,1.1286,0.05273,0.5195
qwen3-32b,Qwen3-32B,40,64,0.624977,1.1214,1.0116,1.2312,0.05602,0.5682
qwen3-32b,Qwen3-32B,41,64,0.6406,1.213,1.0980,1.3280,0.05865,0.6146
qwen3-32b,Qwen3-32B,42,64,0.656223,1.3073,1.1870,1.4276,0.06138,0.6624
qwen3-32b,Qwen3-32B,43,64,0.671918,1.3901,1.2683,1.5119,0.06212,0.7043
qwen3-32b,Qwen3-32B,44,64,0.68754,1.4754,1.3494,1.6014,0.06429,0.7476
qwen3-32b,Qwen3-32B,45,64,0.703163,1.5517,1.4233,1.6801,0.06549,0.7862
qwen3-32b,Qwen3-32B,46,64,0.718786,1.6172,1.4860,1.7484,0.06694,0.8194
qwen3-32b,Qwen3-32B,47,64,0.734409,1.6938,1.5607,1.8269,0.06791,0.8582
qwen3-32b,Qwen3-32B,48,64,0.750032,1.7467,1.6052,1.8882,0.07217,0.885
qwen3-32b,Qwen3-32B,49,64,0.765655,1.7986,1.6582,1.9390,0.07161,0.9113
qwen3-32b,Qwen3-32B,50,64,0.781278,1.8351,1.6917,1.9785,0.07314,0.9298
qwen3-32b,Qwen3-32B,51,64,0.796901,1.8886,1.7441,2.0332,0.07375,0.9569
qwen3-32b,Qwen3-32B,52,64,0.812524,1.9265,1.7772,2.0758,0.07617,0.9761
qwen3-32b,Qwen3-32B,53,64,0.828147,1.9415,1.7940,2.0890,0.07528,0.9837
qwen3-32b,Qwen3-32B,54,64,0.84377,1.9483,1.7934,2.1032,0.07903,0.9872
qwen3-32b,Qwen3-32B,55,64,0.859393,1.9712,1.8229,2.1195,0.07564,0.9988
qwen3-32b,Qwen3-32B,56,64,0.875016,1.9736,1.8251,2.1221,0.07577,1.0
qwen3-32b,Qwen3-32B,57,64,0.890639,1.9666,1.8186,2.1146,0.07549,0.9965
qwen3-32b,Qwen3-32B,58,64,0.906262,1.9281,1.7781,2.0781,0.07653,0.9769
qwen3-32b,Qwen3-32B,59,64,0.921885,1.9147,1.7683,2.0611,0.07467,0.9702
qwen3-32b,Qwen3-32B,60,64,0.937508,1.8839,1.7399,2.0279,0.07347,0.9546
qwen3-32b,Qwen3-32B,61,64,0.953131,1.8201,1.6817,1.9585,0.07061,0.9222
qwen3-32b,Qwen3-32B,62,64,0.968754,1.7636,1.6299,1.8973,0.06819,0.8936
qwen3-32b,Qwen3-32B,63,64,0.984377,1.6941,1.5652,1.8230,0.06574,0.8584
qwen3-32b,Qwen3-32B,64,64,1.0,1.6229,1.4988,1.7470,0.06332,0.8223
gemma-4-31b,Gemma-4-31B,1,62,0.016127,0.0138,0.0004,0.0272,0.00684,0.0059
gemma-4-31b,Gemma-4-31B,2,62,0.032261,0.0108,-0.0030,0.0246,0.00704,0.0046
gemma-4-31b,Gemma-4-31B,3,62,0.048388,0.0104,-0.0030,0.0238,0.00684,0.0044
gemma-4-31b,Gemma-4-31B,4,62,0.064515,0.0159,0.0014,0.0304,0.00742,0.0068
gemma-4-31b,Gemma-4-31B,5,62,0.080649,0.0211,0.0063,0.0359,0.00755,0.009
gemma-4-31b,Gemma-4-31B,6,62,0.096776,0.0206,0.0067,0.0345,0.00709,0.0088
gemma-4-31b,Gemma-4-31B,7,62,0.112903,0.0254,0.0104,0.0404,0.00763,0.0108
gemma-4-31b,Gemma-4-31B,8,62,0.129037,0.0287,0.0115,0.0459,0.0088,0.0122
gemma-4-31b,Gemma-4-31B,9,62,0.145164,0.0258,0.0108,0.0408,0.00765,0.011
gemma-4-31b,Gemma-4-31B,10,62,0.161291,0.0428,0.0266,0.0590,0.00827,0.0182
gemma-4-31b,Gemma-4-31B,11,62,0.177425,0.0425,0.0273,0.0577,0.00773,0.0181
gemma-4-31b,Gemma-4-31B,12,62,0.193552,0.0467,0.0299,0.0635,0.00857,0.0199
gemma-4-31b,Gemma-4-31B,13,62,0.209679,0.0557,0.0375,0.0739,0.00931,0.0237
gemma-4-31b,Gemma-4-31B,14,62,0.225806,0.0634,0.0435,0.0833,0.01013,0.027
gemma-4-31b,Gemma-4-31B,15,62,0.24194,0.0722,0.0533,0.0911,0.00964,0.0307
gemma-4-31b,Gemma-4-31B,16,62,0.258067,0.079,0.0583,0.0997,0.01054,0.0336
gemma-4-31b,Gemma-4-31B,17,62,0.274194,0.091,0.0703,0.1117,0.01056,0.0387
gemma-4-31b,Gemma-4-31B,18,62,0.290328,0.1063,0.0823,0.1303,0.01222,0.0452
gemma-4-31b,Gemma-4-31B,19,62,0.306455,0.1215,0.0998,0.1432,0.01105,0.0517
gemma-4-31b,Gemma-4-31B,20,62,0.322582,0.1404,0.1147,0.1661,0.01309,0.0597
gemma-4-31b,Gemma-4-31B,21,62,0.338716,0.161,0.1358,0.1862,0.01286,0.0685
gemma-4-31b,Gemma-4-31B,22,62,0.354843,0.1849,0.1571,0.2127,0.01418,0.0786
gemma-4-31b,Gemma-4-31B,23,62,0.37097,0.2102,0.1794,0.2410,0.01571,0.0894
gemma-4-31b,Gemma-4-31B,24,62,0.387104,0.2429,0.2102,0.2756,0.01666,0.1033
gemma-4-31b,Gemma-4-31B,25,62,0.403231,0.2824,0.2459,0.3189,0.01862,0.1201
gemma-4-31b,Gemma-4-31B,26,62,0.419358,0.3211,0.2831,0.3591,0.01941,0.1365
gemma-4-31b,Gemma-4-31B,27,62,0.435492,0.364,0.3206,0.4074,0.02214,0.1548
gemma-4-31b,Gemma-4-31B,28,62,0.451619,0.4151,0.3699,0.4603,0.02306,0.1765
gemma-4-31b,Gemma-4-31B,29,62,0.467739,0.4682,0.4192,0.5172,0.025,0.1991
gemma-4-31b,Gemma-4-31B,30,62,0.483866,0.5279,0.4738,0.5820,0.0276,0.2245
gemma-4-31b,Gemma-4-31B,31,62,0.499993,0.608,0.5487,0.6673,0.03023,0.2585
gemma-4-31b,Gemma-4-31B,32,62,0.51612,0.6858,0.6224,0.7492,0.03237,0.2916
gemma-4-31b,Gemma-4-31B,33,62,0.532247,0.7787,0.7090,0.8484,0.03554,0.3311
gemma-4-31b,Gemma-4-31B,34,62,0.548374,0.8603,0.7843,0.9362,0.03875,0.3658
gemma-4-31b,Gemma-4-31B,35,62,0.564501,0.9567,0.8738,1.0396,0.04232,0.4068
gemma-4-31b,Gemma-4-31B,36,62,0.580628,1.061,0.9731,1.1489,0.04487,0.4512
gemma-4-31b,Gemma-4-31B,37,62,0.596754,1.1593,1.0615,1.2571,0.04992,0.493
gemma-4-31b,Gemma-4-31B,38,62,0.612881,1.2812,1.1741,1.3883,0.05464,0.5448
gemma-4-31b,Gemma-4-31B,39,62,0.629008,1.3738,1.2579,1.4897,0.05913,0.5842
gemma-4-31b,Gemma-4-31B,40,62,0.645135,1.4833,1.3558,1.6108,0.06503,0.6308
gemma-4-31b,Gemma-4-31B,41,62,0.661334,1.5959,1.4595,1.7323,0.06957,0.6786
gemma-4-31b,Gemma-4-31B,42,62,0.677461,1.6856,1.5402,1.8310,0.07416,0.7168
gemma-4-31b,Gemma-4-31B,43,62,0.693588,1.7852,1.6371,1.9333,0.07556,0.7591
gemma-4-31b,Gemma-4-31B,44,62,0.709715,1.8703,1.7098,2.0308,0.08189,0.7953
gemma-4-31b,Gemma-4-31B,45,62,0.725842,1.9567,1.7862,2.1272,0.08697,0.8321
gemma-4-31b,Gemma-4-31B,46,62,0.741969,2.0263,1.8506,2.2020,0.08962,0.8617
gemma-4-31b,Gemma-4-31B,47,62,0.758096,2.0996,1.9187,2.2805,0.09232,0.8928
gemma-4-31b,Gemma-4-31B,48,62,0.774223,2.1605,1.9747,2.3463,0.09482,0.9187
gemma-4-31b,Gemma-4-31B,49,62,0.79035,2.2158,2.0251,2.4065,0.09732,0.9423
gemma-4-31b,Gemma-4-31B,50,62,0.806477,2.2461,2.0457,2.4465,0.10227,0.9551
gemma-4-31b,Gemma-4-31B,51,62,0.822604,2.2946,2.0920,2.4972,0.10339,0.9758
gemma-4-31b,Gemma-4-31B,52,62,0.838731,2.3402,2.1370,2.5434,0.10368,0.9952
gemma-4-31b,Gemma-4-31B,53,62,0.854858,2.3355,2.1312,2.5398,0.10424,0.9932
gemma-4-31b,Gemma-4-31B,54,62,0.870984,2.3516,2.1503,2.5529,0.10268,1.0
gemma-4-31b,Gemma-4-31B,55,62,0.887111,2.3366,2.1381,2.5351,0.10125,0.9936
gemma-4-31b,Gemma-4-31B,56,62,0.903238,2.3017,2.1009,2.5025,0.10243,0.9788
gemma-4-31b,Gemma-4-31B,57,62,0.919365,2.2813,2.0823,2.4803,0.10151,0.9701
gemma-4-31b,Gemma-4-31B,58,62,0.935492,2.2281,2.0277,2.4285,0.10227,0.9475
gemma-4-31b,Gemma-4-31B,59,62,0.951619,2.1875,1.9958,2.3792,0.09781,0.9302
gemma-4-31b,Gemma-4-31B,60,62,0.967746,2.1056,1.9207,2.2905,0.09434,0.8954
gemma-4-31b,Gemma-4-31B,61,62,0.983873,2.0358,1.8569,2.2147,0.09128,0.8657
gemma-4-31b,Gemma-4-31B,62,62,1.0,1.9434,1.7703,2.1165,0.08834,0.8264
gemma-3-27b,Gemma-3-27B,1,62,0.016127,0.0196,0.0075,0.0317,0.00617,0.0091
gemma-3-27b,Gemma-3-27B,2,62,0.032261,0.0202,0.0078,0.0326,0.00635,0.0093
gemma-3-27b,Gemma-3-27B,3,62,0.048388,0.0273,0.0169,0.0377,0.00533,0.0126
gemma-3-27b,Gemma-3-27B,4,62,0.064515,0.0251,0.0109,0.0393,0.00727,0.0116
gemma-3-27b,Gemma-3-27B,5,62,0.080649,0.0308,0.0166,0.0450,0.00727,0.0143
gemma-3-27b,Gemma-3-27B,6,62,0.096776,0.03,0.0162,0.0438,0.00704,0.0139
gemma-3-27b,Gemma-3-27B,7,62,0.112903,0.0356,0.0218,0.0494,0.00702,0.0165
gemma-3-27b,Gemma-3-27B,8,62,0.129037,0.0344,0.0200,0.0488,0.00737,0.0159
gemma-3-27b,Gemma-3-27B,9,62,0.145164,0.0389,0.0241,0.0537,0.00755,0.018
gemma-3-27b,Gemma-3-27B,10,62,0.161291,0.0494,0.0351,0.0637,0.0073,0.0229
gemma-3-27b,Gemma-3-27B,11,62,0.177425,0.0514,0.0352,0.0676,0.00827,0.0238
gemma-3-27b,Gemma-3-27B,12,62,0.193552,0.057,0.0400,0.0740,0.00865,0.0264
gemma-3-27b,Gemma-3-27B,13,62,0.209679,0.0616,0.0444,0.0788,0.0088,0.0285
gemma-3-27b,Gemma-3-27B,14,62,0.225806,0.0741,0.0566,0.0916,0.00893,0.0343
gemma-3-27b,Gemma-3-27B,15,62,0.24194,0.0778,0.0614,0.0942,0.00837,0.036
gemma-3-27b,Gemma-3-27B,16,62,0.258067,0.0907,0.0704,0.1110,0.01036,0.042
gemma-3-27b,Gemma-3-27B,17,62,0.274194,0.1055,0.0864,0.1246,0.00975,0.0488
gemma-3-27b,Gemma-3-27B,18,62,0.290328,0.1159,0.0951,0.1367,0.01061,0.0536
gemma-3-27b,Gemma-3-27B,19,62,0.306455,0.1346,0.1116,0.1576,0.01171,0.0623
gemma-3-27b,Gemma-3-27B,20,62,0.322582,0.1484,0.1248,0.1720,0.01204,0.0687
gemma-3-27b,Gemma-3-27B,21,62,0.338716,0.172,0.1459,0.1981,0.01334,0.0796
gemma-3-27b,Gemma-3-27B,22,62,0.354843,0.2027,0.1744,0.2310,0.01446,0.0938
gemma-3-27b,Gemma-3-27B,23,62,0.37097,0.2309,0.2010,0.2608,0.01528,0.1069
gemma-3-27b,Gemma-3-27B,24,62,0.387104,0.2594,0.2249,0.2939,0.0176,0.1201
gemma-3-27b,Gemma-3-27B,25,62,0.403231,0.2995,0.2609,0.3381,0.01969,0.1386
gemma-3-27b,Gemma-3-27B,26,62,0.419358,0.3469,0.3049,0.3889,0.02143,0.1606
gemma-3-27b,Gemma-3-27B,27,62,0.435492,0.3913,0.3445,0.4381,0.02388,0.1811
gemma-3-27b,Gemma-3-27B,28,62,0.451619,0.445,0.3924,0.4976,0.02684,0.206
gemma-3-27b,Gemma-3-27B,29,62,0.467739,0.5053,0.4490,0.5616,0.0287,0.2339
gemma-3-27b,Gemma-3-27B,30,62,0.483866,0.5756,0.5111,0.6401,0.03293,0.2664
gemma-3-27b,Gemma-3-27B,31,62,0.499993,0.6539,0.5816,0.7262,0.03691,0.3027
gemma-3-27b,Gemma-3-27B,32,62,0.51612,0.7321,0.6540,0.8102,0.03985,0.3389
gemma-3-27b,Gemma-3-27B,33,62,0.532247,0.8183,0.7306,0.9060,0.04477,0.3788
gemma-3-27b,Gemma-3-27B,34,62,0.548374,0.9068,0.8141,0.9995,0.0473,0.4197
